,title,authors,year,venue,publisher,citation_count,avg_citations_per_year
692,Cardiovascular Disease Risk Prediction with Supervised Machine Learning Techniques.,"E Dritsas, S Alexiou, K Moustakas",2022," ICT4AWE,",scitepress.org,46,15.333333333333334
693,Machine learning for topology optimization: Physics-based learning through an independent training strategy,"FV Senhora, H Chi, Y Zhang, L Mirabella…",2022," Computer Methods in …,",Elsevier,42,14.0
694,Machine learning for regional crop yield forecasting in Europe,"D Paudel, H Boogaard, A de Wit, M van der Velde…",2022," Field Crops …,",Elsevier,73,24.333333333333332
695,House price prediction using random forest machine learning technique,"AB Adetunji, ON Akande, FA Ajala, O Oyewo…",2022," Procedia Computer …,",Elsevier,106,35.333333333333336
696,Machine learning and internet of things in industry 4.0: A review,"MS Rahman, T Ghosh, NF Aurna, MS Kaiser…",2023," Measurement …,",Elsevier,34,17.0
697,A performance analysis of dimensionality reduction algorithms in machine learning models for cancer prediction,"MF Kabir, T Chen, SA Ludwig",2023," Healthcare Analytics,",Elsevier,58,29.0
698,Early detection of coronary heart disease based on machine learning methods,"R Yılmaz, FH Yağın",2022," Medical Records,",dergipark.org.tr,55,18.333333333333332
699,Suspicious activity detection and classification in IoT environment using machine learning approach,"V Talukdar, D Dhabliya, B Kumar…",2022," … , Distributed and Grid …,",ieeexplore.ieee.org,41,13.666666666666666
700,Machine learning for technical skill assessment in surgery: a systematic review,"K Lam, J Chen, Z Wang, FM Iqbal, A Darzi, B Lo…",2022," NPJ digital …,",nature.com,82,27.333333333333332
701,Acoustic fish species identification using deep learning and machine learning algorithms: A systematic review,"A Yassir, SJ Andaloussi, O Ouchetto, K Mamza…",2023," Fisheries …,",Elsevier,16,8.0
702,"Machine learning in the identification, prediction and exploration of environmental toxicology: Challenges and perspectives","X Wu, Q Zhou, L Mu, X Hu",2022," Journal of Hazardous Materials,",Elsevier,29,9.666666666666666
703,Survey paper: Comparative study of machine learning techniques and its recent applications,"BD Shivahare, S Suman…",2022," … in Technology and …,",ieeexplore.ieee.org,32,10.666666666666666
704,Image segmentation for MR brain tumor detection using machine learning: a review,"TA Soomro, L Zheng, AJ Afifi, A Ali…",2022," IEEE Reviews in …,",ieeexplore.ieee.org,148,49.333333333333336
705,Grain boundary sliding and distortion on a nanosecond timescale induce trap states in CsPbBr 3: ab initio investigation with machine learning force field,"D Liu, Y Wu, AS Vasenko, OV Prezhdo",2023," Nanoscale,",pubs.rsc.org,21,10.5
706,Creativity and machine learning: A survey,"G Franceschelli, M Musolesi",2024," ACM Computing Surveys,",dl.acm.org,40,40.0
707,Using machine learning algorithms classified depressed patients and normal people,"G Chopra, P Whig",2022," International Journal of Machine Learning for …,",ijsdcs.com,45,15.0
708,An ensemble approach to predict early-stage diabetes risk using machine learning: An empirical study,"UE Laila, K Mahboob, AW Khan, F Khan, W Taekeun",2022," Sensors,",mdpi.com,94,31.333333333333332
709,A novel machine learning approach for solar radiation estimation,"H Hissou, S Benkirane, A Guezzaz, M Azrour…",2023," Sustainability,",mdpi.com,31,15.5
710,Motion planning and control for mobile robot navigation using machine learning: a survey,"X Xiao, B Liu, G Warnell, P Stone",2022," Autonomous Robots,",Springer,216,72.0
711,Machine learning and blockchain technologies for cybersecurity in connected vehicles,"J Ahmad, MU Zia, IH Naqvi, JN Chattha…",2024," … : Data Mining and …,",Wiley Online Library,29,29.0
712,Machine learning sensors,"P Warden, M Stewart, B Plancher, S Katti…",2023," Communications of the …,",dl.acm.org,20,10.0
713,Enhancing machine learning with low-cost p m2. 5 air quality sensor calibration using image processing,"U Rahardja, Q Aini, D Manongga…",2023," APTISI Transactions …,",ijc.ilearning.co,38,19.0
714,Predicting employee attrition using machine learning approaches,"A Raza, K Munir, M Almutairi, F Younas, MMS Fareed",2022," Applied Sciences,",mdpi.com,68,22.666666666666668
715,Multiple sclerosis diagnosis using machine learning and deep learning: challenges and opportunities,"N Aslam, IU Khan, A Bashamakh, FA Alghool…",2022," Sensors,",mdpi.com,41,13.666666666666666
716,A systematic review on machine learning and deep learning techniques in the effective diagnosis of Alzheimer's disease,"AD Arya, SS Verma, P Chakarabarti, T Chakrabarti…",2023," Brain Informatics,",Springer,48,24.0
717,Recent trends of machine learning applied to multi-source data of medicinal plants,"Y Zhang, Y Wang",2023," Journal of Pharmaceutical Analysis,",Elsevier,20,10.0
718,Transfer learning for radio frequency machine learning: a taxonomy and survey,"LJ Wong, AJ Michaels",2022," Sensors,",mdpi.com,39,13.0
719,Machine learning for predicting chronic diseases: a systematic review,"FM Delpino, ÂK Costa, SR Farias…",2022," Public Health,",Elsevier,34,11.333333333333334
720,Employee performance prediction: An integrated approach of business analytics and machine learning,"MDR Hasan, RK Ray…",2024," Journal of Business and …,",al-kindipublisher.com,42,42.0
721,Error metrics and performance fitness indicators for artificial intelligence and machine learning in engineering and sciences,"MZ Naser, AH Alavi",2023," Architecture, Structures and Construction,",Springer,232,116.0
722,Transition1x-a dataset for building generalizable reactive machine learning potentials,"M Schreiner, A Bhowmik, T Vegge, J Busk, O Winther",2022," Scientific Data,",nature.com,43,14.333333333333334
723,Cancer prediction using machine learning,"G Sruthi, CL Ram, MK Sai, BP Singh…",2022," … in Technology and …,",ieeexplore.ieee.org,38,12.666666666666666
724,Application of machine learning techniques to detect the children with autism spectrum disorder,"M Liao, H Duan, G Wang",2022," Journal of Healthcare Engineering,",Wiley Online Library,61,20.333333333333332
725,Direct generation of protein conformational ensembles via machine learning,"G Janson, G Valdes-Garcia, L Heo, M Feig",2023," Nature Communications,",nature.com,74,37.0
726,PMLB v1. 0: an open-source dataset collection for benchmarking machine learning methods,"JD Romano, TT Le, W La Cava, JT Gregg…",2022," …,",academic.oup.com,92,30.666666666666668
727,Machine learning on thyroid disease: a review,"KS Lee, H Park",2022," Frontiers in Bioscience-Landmark,",imrpress.com,29,9.666666666666666
728,A review on security analysis of cyber physical systems using Machine learning,"AA Jamal, AAM Majid, A Konev, T Kosachenko…",2023," Materials today …,",Elsevier,79,39.5
729,Data Fusion-based machine learning architecture for intrusion detection,TM Ghazal,2022," Computers, Materials & Continua,",research.skylineuniversity.ac.ae,100,33.333333333333336
730,Multi-label active learning-based machine learning model for heart disease prediction,"IM El-Hasnony, OM Elzeki, A Alshehri, H Salem",2022," Sensors,",mdpi.com,124,41.333333333333336
731,Machine-learning methods for ligand–protein molecular docking,"K Crampon, A Giorkallos, M Deldossi, S Baud…",2022," Drug discovery today,",Elsevier,185,61.666666666666664
732,Revolutionizing healthcare: the role of machine learning in the health sector,M Sarker,2024," Journal of Artificial Intelligence General science …,",ojs.boulibrary.com,29,29.0
733,Movie recommendation and sentiment analysis using machine learning,"N Pavitha, V Pungliya, A Raut, R Bhonsle…",2022," Global Transitions …,",Elsevier,61,20.333333333333332
734,Merging data curation and machine learning to improve nanomedicines,"C Chen, Z Yaari, E Apfelbaum, P Grodzinski…",2022," Advanced drug delivery …,",Elsevier,46,15.333333333333334
735,Auto modelling for machine learning: a comparison implementation between rapid miner and python,"N Baharun, NFM Razi, S Masrom…",2022," Int. J. Emerg. Technol …,",researchgate.net,28,9.333333333333334
736,"Accountability in an algorithmic society: relationality, responsibility, and robustness in machine learning","AF Cooper, E Moss, B Laufer…",2022, Proceedings of the,dl.acm.org,99,33.0
737,Classification and diagnostic prediction of breast cancer metastasis on clinical data using machine learning algorithms,"M Botlagunta, MD Botlagunta, MB Myneni…",2023," Scientific Reports,",nature.com,89,44.5
738,The artificial intelligence and machine learning in lung cancer immunotherapy,"Q Gao, L Yang, M Lu, R Jin, H Ye, T Ma",2023," Journal of Hematology & …,",Springer,41,20.5
739,Exploring how machine learning practitioners (try to) use fairness toolkits,"WH Deng, M Nagireddy, MSA Lee, J Singh…",2022," Proceedings of the …,",dl.acm.org,73,24.333333333333332
740,Online bearing fault diagnosis using numerical simulation models and machine learning classifications,"H Wang, J Zheng, J Xiang",2023," Reliability Engineering & System Safety,",Elsevier,55,27.5
741,Towards data-centric graph machine learning: Review and outlook,"X Zheng, Y Liu, Z Bao, M Fang, X Hu, AWC Liew…",2023," arXiv preprint arXiv …,",arxiv.org,19,9.5
742,A review of ultrasonic sensing and machine learning methods to monitor industrial processes,"AL Bowler, MP Pound, NJ Watson",2022," Ultrasonics,",Elsevier,35,11.666666666666666
743,Ransomware classification and detection with machine learning algorithms,"M Masum, MJH Faruk, H Shahriar…",2022,,ieeexplore.ieee.org,82,27.333333333333332
744,Voice in Parkinson's disease: a machine learning study,"A Suppa, G Costantini, F Asci, P Di Leo…",2022," Frontiers in …,",frontiersin.org,56,18.666666666666668
745,Pima Indians diabetes mellitus classification based on machine learning (ML) algorithms,"V Chang, J Bailey, QA Xu, Z Sun",2023," Neural Computing and Applications,",Springer,189,94.5
746,Machine learning coarse-grained potentials of protein thermodynamics,"M Majewski, A Pérez, P Thölke, S Doerr…",2023," Nature …,",nature.com,45,22.5
747,Application of machine learning methods on real bridge monitoring data,"F Wedel, S Marx",2022," Engineering Structures,",Elsevier,34,11.333333333333334
748,Raman spectroscopy and machine learning for the classification of breast cancers,"L Zhang, C Li, D Peng, X Yi, S He, F Liu…",2022," … Acta Part A: Molecular …,",Elsevier,100,33.333333333333336
749,The role of machine learning to boost the bioenergy and biofuels conversion,"Z Wang, X Peng, A Xia, AA Shah, Y Huang, X Zhu…",2022," Bioresource …,",Elsevier,112,37.333333333333336
750,Machine learning price index forecasts of flat steel products,"B Jin, X Xu",2024," Mineral Economics,",Springer,5,5.0
751,Applications of machine learning in metabolomics: Disease modeling and classification,"A Galal, M Talal, A Moustafa",2022," Frontiers in genetics,",frontiersin.org,66,22.0
752,Crime tracking system and people's safety in India using machine learning approaches,"VK Gupta, SK Shukla, RS Rawat",2022," International Journal of …,",researchgate.net,76,25.333333333333332
753,A survey on machine learning based analysis of heterogeneous data in industrial automation,"S Kamm, SS Veekati, T Müller, N Jazdi, M Weyrich",2023," Computers in Industry,",Elsevier,29,14.5
754,Application of machine learning initiatives and intelligent perspectives for CO2 emissions reduction in construction,"L Farahzadi, M Kioumarsi",2023," Journal of Cleaner Production,",Elsevier,42,21.0
755,Predicting the changes in the WTI crude oil price dynamics using machine learning models,"H Guliyev, E Mustafayev",2022," Resources Policy,",Elsevier,58,19.333333333333332
756,Machine learning-aided engineering of hydrolases for PET depolymerization,"H Lu, DJ Diaz, NJ Czarnecki, C Zhu, W Kim, R Shroff…",2022," Nature,",nature.com,688,229.33333333333334
757,"Flash drought: Review of concept, prediction and the potential for machine learning, deep learning methods","S Tyagi, X Zhang, D Saraswat, S Sahany…",2022," Earth's …,",Wiley Online Library,33,11.0
758,Navigating with chemometrics and machine learning in chemistry,PB Joshi,2023," Artificial Intelligence Review,",Springer,21,10.5
759,The deep DNA machine learning model to classify the tumor genome of patients with tumor sequencing,"J Logeshwaran, N Adhikari, SS Joshi…",2022," … Journal of Health …,",researchgate.net,131,43.666666666666664
760,Machine learning techniques applied to construction: A hybrid bibliometric analysis of advances and future directions,"J Garcia, G Villavicencio, F Altimiras, B Crawford…",2022," Automation in …,",Elsevier,28,9.333333333333334
